currentTime,naiveAgent,rationalAgent,rubyAgent,allAgent
21:10:00,75,93,31,199
21:11:00,78,92,30,200
21:12:00,82,90,30,202
21:13:00,85,88,28,201
21:14:00,88,86,27,201
21:15:00,92,84,26,202
21:16:00,95,83,25,203
21:17:00,99,80,25,204
21:18:00,102,79,24,205
21:19:00,106,76,23,205
21:20:00,109,74,23,206
21:21:00,112,71,22,205
21:22:00,116,70,21,207
21:23:00,119,68,21,208
21:24:00,122,65,20,207
21:25:00,125,63,20,208
21:26:00,128,61,19,208
21:27:00,131,58,19,208
21:28:00,133,56,20,209
21:29:00,136,54,20,210
21:30:00,138,52,20,210
21:31:00,141,49,20,210
21:32:00,143,47,21,211
21:33:00,145,45,21,211
21:34:00,146,43,22,211
21:35:00,148,41,22,211
21:36:00,149,38,23,210
21:37:00,151,36,24,211
21:38:00,152,34,25,211
21:39:00,152,32,26,210
21:40:00,153,31,28,212
21:41:00,153,29,29,211
21:42:00,154,27,31,212
21:43:00,153,26,33,212
21:44:00,153,23,34,210
21:45:00,153,22,36,211
21:46:00,152,20,39,211
21:47:00,151,19,40,210
21:48:00,150,18,43,211
21:49:00,149,16,46,211
21:50:00,147,15,49,211
21:51:00,146,14,51,211
21:52:00,144,13,54,211
21:53:00,142,12,57,211
21:54:00,140,11,60,211
21:55:00,138,10,63,211
21:56:00,135,9,66,210
21:57:00,133,9,69,211
21:58:00,130,8,73,211
21:59:00,127,7,76,210
22:00:00,124,6,80,210
22:01:00,121,6,83,210
22:02:00,118,5,87,210
22:03:00,115,5,90,210
22:04:00,111,4,93,208
22:05:00,108,4,96,208
22:06:00,105,3,100,208
22:07:00,101,3,103,207
22:08:00,98,3,107,208
22:09:00,94,2,110,206
22:10:00,91,2,113,206
22:11:00,87,2,116,205
22:12:00,84,2,119,205
22:13:00,81,1,121,203
22:14:00,77,1,124,202
22:15:00,74,1,126,201
22:16:00,71,1,128,200
22:17:00,67,1,130,198
22:18:00,64,1,132,197
22:19:00,61,0,133,194
22:20:00,58,0,135,193
22:21:00,55,0,136,191
22:22:00,52,0,136,188
22:23:00,49,0,137,186
22:24:00,47,0,137,184
22:25:00,44,0,137,181
22:26:00,41,0,137,178
22:27:00,39,0,136,175
22:28:00,37,0,136,173
22:29:00,34,0,135,169
22:30:00,32,0,134,166
22:31:00,30,0,132,162
22:32:00,28,0,131,159
22:33:00,26,0,129,155
22:34:00,24,0,127,151
22:35:00,23,0,124,147
22:36:00,21,0,122,143
22:37:00,19,0,119,138
22:38:00,18,0,116,134
22:39:00,17,0,114,131
22:40:00,15,0,110,125
22:41:00,14,0,107,121
22:42:00,13,0,104,117
22:43:00,12,0,101,113
22:44:00,11,0,97,108
22:45:00,10,0,94,104
22:46:00,9,0,90,99
22:47:00,8,0,87,95
22:48:00,8,0,83,91
22:49:00,7,0,80,87
22:50:00,6,0,76,82
22:51:00,6,0,72,78
22:52:00,5,0,69,74
22:53:00,5,0,66,71
22:54:00,4,0,62,66
22:55:00,4,0,59,63
22:56:00,3,0,56,59
22:57:00,3,0,52,55
22:58:00,3,0,49,52
22:59:00,2,0,46,48
23:00:00,2,0,43,45
23:01:00,2,0,41,43
23:02:00,2,0,38,40
23:03:00,1,0,35,36
23:04:00,1,0,33,34
23:05:00,1,0,31,32
23:06:00,1,0,28,29
23:07:00,1,0,26,27
23:08:00,1,0,24,25
23:09:00,0,0,22,22
23:10:00,0,0,21,21
23:11:00,0,0,19,19
23:12:00,0,0,17,17
23:13:00,0,0,16,16
23:14:00,0,0,14,14
23:15:00,0,0,13,13
23:16:00,0,0,12,12
23:17:00,0,0,11,11
23:18:00,0,0,10,10
23:19:00,0,0,9,9
23:20:00,0,0,8,8
23:21:00,0,0,7,7
23:22:00,0,0,6,6
23:23:00,0,0,6,6
23:24:00,0,0,5,5
23:25:00,0,0,4,4
23:26:00,0,0,4,4
23:27:00,0,0,3,3
23:28:00,0,0,3,3
23:29:00,0,0,3,3
23:30:00,0,0,2,2
23:31:00,0,0,2,2
23:32:00,0,0,2,2
23:33:00,0,0,1,1
23:34:00,0,0,1,1
23:35:00,0,0,1,1
23:36:00,0,0,1,1
23:37:00,0,0,1,1
23:38:00,0,0,1,1
23:39:00,0,0,0,0
23:40:00,0,0,0,0
23:41:00,0,0,0,0
23:42:00,0,0,0,0
23:43:00,0,0,0,0
23:44:00,0,0,0,0
23:45:00,0,0,0,0
23:46:00,0,0,0,0
23:47:00,0,0,0,0
23:48:00,0,0,0,0
23:49:00,0,0,0,0
23:50:00,0,0,0,0
23:51:00,0,0,0,0
23:52:00,0,0,0,0
23:53:00,0,0,0,0
23:54:00,0,0,0,0
23:55:00,0,0,0,0
23:56:00,0,0,0,0
23:57:00,0,0,0,0
23:58:00,0,0,0,0
23:59:00,0,0,0,0
