GenerationFileの情報,エージェントID,発生時刻1,発生時刻2,到着時刻1,到着時刻2,移動時間1,移動時間2
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:03:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00030,19:03:13,193,19:09:45,585,00:06:32,392
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:03:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00037,19:03:56,236,19:09:54,594,00:05:58,358
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:03:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00032,19:03:31,211,19:10:05,605,00:06:34,394
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:04:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00039,19:04:06,246,19:10:07,607,00:06:01,361
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:03:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00034,19:03:45,225,19:10:11,611,00:06:26,386
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:03:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00035,19:03:51,231,19:10:18,618,00:06:27,387
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:03:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00036,19:03:52,232,19:10:20,620,00:06:28,388
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:04:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00041,19:04:09,249,19:10:26,626,00:06:17,377
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:03:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00033,19:03:43,223,19:10:28,628,00:06:45,405
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:04:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00042,19:04:22,262,19:10:30,630,00:06:08,368
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:04:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00045,19:04:31,271,19:10:39,639,00:06:08,368
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:03:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00038,19:03:57,237,19:10:43,643,00:06:46,406
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:04:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00040,19:04:08,248,19:10:45,645,00:06:37,397
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:04:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00046,19:04:35,275,19:10:54,654,00:06:19,379
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:04:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00043,19:04:23,263,19:10:56,656,00:06:33,393
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:04:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00048,19:04:52,292,19:11:05,665,00:06:13,373
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:04:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00044,19:04:25,265,19:11:12,672,00:06:47,407
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:05:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00051,19:05:05,305,19:11:16,676,00:06:11,371
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:04:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00047,19:04:48,288,19:11:23,683,00:06:35,395
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:05:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00050,19:05:02,302,19:11:27,687,00:06:25,385
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:05:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00054,19:05:22,322,19:11:31,691,00:06:09,369
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:05:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00055,19:05:39,339,19:11:38,698,00:05:59,359
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:05:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00049,19:05:00,300,19:11:40,700,00:06:40,400
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:05:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00052,19:05:10,310,19:11:51,711,00:06:41,401
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:05:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00053,19:05:18,318,19:11:57,717,00:06:39,399
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:06:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00059,19:06:01,361,19:12:04,724,00:06:03,363
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:05:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00056,19:05:42,342,19:12:13,733,00:06:31,391
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:06:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00061,19:06:16,376,19:12:15,735,00:05:59,359
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:06:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00063,19:06:24,384,19:12:20,740,00:05:56,356
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:05:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00057,19:05:43,343,19:12:25,745,00:06:42,402
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:06:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00060,19:06:14,374,19:12:32,752,00:06:18,378
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Route3"} "startTime":"19:00:00" "total":1 "duration":1 "startPlace":"SL_GPS" "goal":"EXIT_GPS" "conditions":["INDEXA_R3_0"]},ag00002,19:00:00,0,19:12:34,754,00:12:34,754
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:06:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00062,19:06:22,382,19:12:38,758,00:06:16,376
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:06:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00065,19:06:38,398,19:12:40,760,00:06:02,362
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:05:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00058,19:05:53,353,19:12:42,762,00:06:49,409
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:06:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00064,19:06:26,386,19:12:44,764,00:06:18,378
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:06:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00066,19:06:46,406,19:12:51,771,00:06:05,365
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:06:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00067,19:06:52,412,19:13:21,801,00:06:29,389
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:06:00" "total":10 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00068,19:06:59,419,19:13:25,805,00:06:26,386
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:07:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00075,19:07:41,461,19:13:41,821,00:06:00,360
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:07:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00069,19:07:11,431,19:13:57,837,00:06:46,406
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:07:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00071,19:07:26,446,19:14:00,840,00:06:34,394
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:07:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00070,19:07:17,437,19:14:03,843,00:06:46,406
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:07:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00072,19:07:29,449,19:14:05,845,00:06:36,396
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:08:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00081,19:08:13,493,19:14:10,850,00:05:57,357
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:07:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00073,19:07:31,451,19:14:13,853,00:06:42,402
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:07:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00076,19:07:43,463,19:14:15,855,00:06:32,392
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:08:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00083,19:08:17,497,19:14:17,857,00:06:00,360
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:08:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00080,19:08:10,490,19:14:19,859,00:06:09,369
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:07:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00074,19:07:33,453,19:14:21,861,00:06:48,408
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:07:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00077,19:07:49,469,19:14:23,863,00:06:34,394
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:07:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00078,19:07:52,472,19:14:27,867,00:06:35,395
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:08:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00085,19:08:30,510,19:14:37,877,00:06:07,367
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:07:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00079,19:07:57,477,19:14:44,884,00:06:47,407
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:08:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00087,19:08:36,516,19:14:51,891,00:06:15,375
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:08:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00082,19:08:15,495,19:14:54,894,00:06:39,399
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:08:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00089,19:08:46,526,19:14:57,897,00:06:11,371
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:08:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00086,19:08:32,512,19:15:01,901,00:06:29,389
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:08:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00090,19:08:50,530,19:15:07,907,00:06:17,377
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:08:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00084,19:08:26,506,19:15:12,912,00:06:46,406
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:09:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00093,19:09:15,555,19:15:17,917,00:06:02,362
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:08:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00088,19:08:42,522,19:15:19,919,00:06:37,397
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Route1"} "startTime":"19:10:00" "total":1 "duration":1 "startPlace":"SL_GPS" "goal":"EXIT_GPS" "conditions":["INDEXA_R1_10"]},ag00102,19:10:00,600,19:15:23,923,00:05:23,323
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:09:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00091,19:09:05,545,19:15:26,926,00:06:21,381
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:09:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00094,19:09:19,559,19:16:04,964,00:06:45,405
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:09:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00098,19:09:40,580,19:16:06,966,00:06:26,386
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:09:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00100,19:09:47,587,19:16:08,968,00:06:21,381
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:09:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00099,19:09:45,585,19:16:10,970,00:06:25,385
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:09:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00095,19:09:21,561,19:16:11,971,00:06:50,410
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:09:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00092,19:09:12,552,19:16:13,973,00:07:01,421
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:09:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00096,19:09:26,566,19:16:15,975,00:06:49,409
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:09:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00097,19:09:29,569,19:16:16,976,00:06:47,407
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:10:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00105,19:10:07,607,19:16:18,978,00:06:11,371
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:09:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00101,19:09:54,594,19:16:23,983,00:06:29,389
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:10:00" "total":11 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00106,19:10:08,608,19:16:27,987,00:06:19,379
