time30sec,naiveAgent,rationalAgent,rubyAgent,sumType
2073.333333,1,10,7,18
2075,1,10,7,18
2076.666667,1,11,7,19
2078.333333,2,11,6,19
2080,2,10,6,18
2081.666667,2,10,6,18
2083.333333,2,10,6,18
2085,2,11,6,19
2086.666667,2,11,6,19
2088.333333,3,11,6,20
2090,3,11,5,19
2091.666667,3,10,5,18
2093.333333,3,10,5,18
2095,4,10,5,19
2096.666667,4,10,5,19
2098.333333,4,10,5,19
2100,4,11,4,19
2101.666667,5,11,4,20
2103.333333,5,11,4,20
2105,5,10,4,19
2106.666667,6,10,4,20
2108.333333,6,10,4,20
2110,6,10,4,20
2111.666667,7,10,3,20
2113.333333,7,10,3,20
2115,7,9,3,19
2116.666667,8,9,3,20
2118.333333,8,9,3,20
2120,8,9,3,20
2121.666667,9,9,3,21
2123.333333,9,9,2,20
2125,10,8,2,20
2126.666667,10,8,2,20
2128.333333,10,8,2,20
2130,11,7,2,20
2131.666667,11,7,2,20
2133.333333,11,7,2,20
2135,12,7,2,21
2136.666667,12,7,1,20
2138.333333,12,6,1,19
2140,13,6,1,20
2141.666667,13,6,1,20
2143.333333,13,6,1,20
2145,14,6,1,21
2146.666667,14,5,1,20
2148.333333,14,5,1,20
2150,15,5,1,21
2151.666667,15,5,2,22
2153.333333,15,4,2,21
2155,15,4,2,21
2156.666667,15,4,2,21
2158.333333,16,4,1,21
2160,16,4,1,21
2161.666667,16,3,1,20
2163.333333,16,3,2,21
2165,16,3,2,21
2166.666667,16,3,2,21
2168.333333,16,3,2,21
2170,16,2,2,20
2171.666667,16,2,3,21
2173.333333,16,2,3,21
2175,16,2,3,21
2176.666667,16,2,3,21
2178.333333,16,2,4,22
2180,16,1,4,21
2181.666667,16,1,4,21
2183.333333,16,1,5,22
2185,15,1,5,21
2186.666667,15,1,5,21
2188.333333,15,1,6,22
2190,15,1,6,22
2191.666667,15,1,6,22
2193.333333,14,1,7,22
2195,14,0,7,21
2196.666667,14,0,7,21
2198.333333,13,0,8,21
2200,13,0,8,21
2201.666667,13,0,8,21
2203.333333,12,0,9,21
2205,12,0,9,21
2206.666667,12,0,10,22
2208.333333,11,0,10,21
2210,11,0,10,21
2211.666667,11,0,11,22
2213.333333,10,0,11,21
2215,10,0,11,21
2216.666667,9,0,12,21
2218.333333,9,0,12,21
2220,9,0,12,21
2221.666667,8,0,13,21
2223.333333,8,0,13,21
2225,8,0,13,21
2226.666667,7,0,13,20
2228.333333,7,0,14,21
2230,7,0,14,21
2231.666667,6,0,14,20
2233.333333,6,0,14,20
2235,6,0,14,20
2236.666667,5,0,14,19
2238.333333,5,0,14,19
2240,5,0,14,19
2241.666667,4,0,14,18
2243.333333,4,0,14,18
2245,4,0,14,18
2246.666667,4,0,14,18
2248.333333,3,0,14,17
2250,3,0,14,17
2251.666667,3,0,14,17
2253.333333,3,0,14,17
2255,2,0,14,16
2256.666667,2,0,13,15
2258.333333,2,0,13,15
2260,2,0,13,15
2261.666667,2,0,13,15
2263.333333,2,0,12,14
2265,1,0,12,13
2266.666667,1,0,12,13
2268.333333,1,0,11,12
2270,1,0,11,12
2271.666667,1,0,10,11
2273.333333,1,0,10,11
2275,1,0,10,11
2276.666667,1,0,9,10
2278.333333,0,0,9,9
2280,0,0,9,9
2281.666667,0,0,8,8
2283.333333,0,0,8,8
2285,0,0,7,7
2286.666667,0,0,7,7
2288.333333,0,0,7,7
2290,0,0,6,6
2291.666667,0,0,6,6
2293.333333,0,0,6,6
2295,0,0,5,5
2296.666667,0,0,5,5
2298.333333,0,0,5,5
2300,0,0,4,4
2301.666667,0,0,4,4
2303.333333,0,0,4,4
2305,0,0,3,3
2306.666667,0,0,3,3
2308.333333,0,0,3,3
2310,0,0,3,3
2311.666667,0,0,2,2
2313.333333,0,0,2,2
2315,0,0,2,2
2316.666667,0,0,2,2
2318.333333,0,0,2,2
2320,0,0,1,1
2321.666667,0,0,1,1
2323.333333,0,0,1,1
2325,0,0,1,1
2326.666667,0,0,1,1
2328.333333,0,0,1,1
2330,0,0,1,1
2331.666667,0,0,1,1
2333.333333,0,0,0,0
2335,0,0,0,0
2336.666667,0,0,0,0
2338.333333,0,0,0,0
2340,0,0,0,0
2341.666667,0,0,0,0
2343.333333,0,0,0,0
2345,0,0,0,0
2346.666667,0,0,0,0
2348.333333,0,0,0,0
2350,0,0,0,0
2351.666667,0,0,0,0
2353.333333,0,0,0,0
2355,0,0,0,0
2356.666667,0,0,0,0
2358.333333,0,0,0,0
2360,0,0,0,0
2361.666667,0,0,0,0
2363.333333,0,0,0,0
2365,0,0,0,0
2366.666667,0,0,0,0
2368.333333,0,0,0,0
2370,0,0,0,0
2371.666667,0,0,0,0
2373.333333,0,0,0,0
2375,0,0,0,0
2376.666667,0,0,0,0
2378.333333,0,0,0,0
2380,0,0,0,0
2381.666667,0,0,0,0
2383.333333,0,0,0,0
2385,0,0,0,0
2386.666667,0,0,0,0
2388.333333,0,0,0,0
2390,0,0,0,0
2391.666667,0,0,0,0
2393.333333,0,0,0,0
2395,0,0,0,0
2396.666667,0,0,0,0
2398.333333,0,0,0,0
