time30sec,naiveAgent,rationalAgent,rubyAgent,sumType
2081.666667,8,10,13,31
2083.333333,8,10,13,31
2085,7,10,13,30
2086.666667,7,10,14,31
2088.333333,7,9,14,30
2090,7,9,14,30
2091.666667,7,9,14,30
2093.333333,6,9,14,29
2095,6,8,14,28
2096.666667,6,8,14,28
2098.333333,6,8,15,29
2100,6,8,15,29
2101.666667,6,7,15,28
2103.333333,5,7,15,27
2105,5,7,15,27
2106.666667,5,7,15,27
2108.333333,5,6,15,26
2110,5,6,15,26
2111.666667,4,6,15,25
2113.333333,4,6,15,25
2115,4,5,15,24
2116.666667,4,5,16,25
2118.333333,4,5,16,25
2120,4,5,16,25
2121.666667,4,5,16,25
2123.333333,3,4,16,23
2125,3,4,16,23
2126.666667,3,4,16,23
2128.333333,3,4,16,23
2130,3,3,16,22
2131.666667,3,3,16,22
2133.333333,3,3,16,22
2135,2,3,16,21
2136.666667,2,3,16,21
2138.333333,2,3,16,21
2140,2,2,16,20
2141.666667,2,2,16,20
2143.333333,2,2,16,20
2145,2,2,16,20
2146.666667,2,2,16,20
2148.333333,2,2,15,19
2150,2,1,15,18
2151.666667,1,1,15,17
2153.333333,1,1,15,17
2155,1,1,15,17
2156.666667,1,1,15,17
2158.333333,1,1,15,17
2160,1,1,15,17
2161.666667,1,1,15,17
2163.333333,1,1,15,17
2165,1,1,14,16
2166.666667,1,0,14,15
2168.333333,1,0,14,15
2170,1,0,14,15
2171.666667,1,0,14,15
2173.333333,1,0,14,15
2175,1,0,14,15
2176.666667,1,0,13,14
2178.333333,0,0,13,13
2180,0,0,13,13
2181.666667,0,0,13,13
2183.333333,0,0,13,13
2185,0,0,13,13
2186.666667,0,0,12,12
2188.333333,0,0,12,12
2190,0,0,12,12
2191.666667,0,0,12,12
2193.333333,0,0,12,12
2195,0,0,12,12
2196.666667,0,0,11,11
2198.333333,0,0,11,11
2200,0,0,11,11
2201.666667,0,0,11,11
2203.333333,0,0,11,11
2205,0,0,10,10
2206.666667,0,0,10,10
2208.333333,0,0,10,10
2210,0,0,10,10
2211.666667,0,0,10,10
2213.333333,0,0,9,9
2215,0,0,9,9
2216.666667,0,0,9,9
2218.333333,0,0,9,9
2220,0,0,8,8
2221.666667,0,0,8,8
2223.333333,0,0,8,8
2225,0,0,8,8
2226.666667,0,0,8,8
2228.333333,0,0,7,7
2230,0,0,7,7
2231.666667,0,0,7,7
2233.333333,0,0,7,7
2235,0,0,7,7
2236.666667,0,0,7,7
2238.333333,0,0,6,6
2240,0,0,6,6
2241.666667,0,0,6,6
2243.333333,0,0,6,6
2245,0,0,6,6
2246.666667,0,0,5,5
2248.333333,0,0,5,5
2250,0,0,5,5
2251.666667,0,0,5,5
2253.333333,0,0,5,5
2255,0,0,5,5
2256.666667,0,0,4,4
2258.333333,0,0,4,4
2260,0,0,4,4
2261.666667,0,0,4,4
2263.333333,0,0,4,4
2265,0,0,4,4
2266.666667,0,0,4,4
2268.333333,0,0,3,3
2270,0,0,3,3
2271.666667,0,0,3,3
2273.333333,0,0,3,3
2275,0,0,3,3
2276.666667,0,0,3,3
2278.333333,0,0,3,3
2280,0,0,3,3
2281.666667,0,0,2,2
2283.333333,0,0,2,2
2285,0,0,2,2
2286.666667,0,0,2,2
2288.333333,0,0,2,2
2290,0,0,2,2
2291.666667,0,0,2,2
2293.333333,0,0,2,2
2295,0,0,2,2
2296.666667,0,0,2,2
2298.333333,0,0,1,1
2300,0,0,1,1
2301.666667,0,0,1,1
2303.333333,0,0,1,1
2305,0,0,1,1
2306.666667,0,0,1,1
2308.333333,0,0,1,1
2310,0,0,1,1
2311.666667,0,0,1,1
2313.333333,0,0,1,1
2315,0,0,1,1
2316.666667,0,0,1,1
2318.333333,0,0,1,1
2320,0,0,1,1
2321.666667,0,0,1,1
2323.333333,0,0,0,0
2325,0,0,0,0
2326.666667,0,0,0,0
2328.333333,0,0,0,0
2330,0,0,0,0
2331.666667,0,0,0,0
2333.333333,0,0,0,0
2335,0,0,0,0
2336.666667,0,0,0,0
2338.333333,0,0,0,0
2340,0,0,0,0
2341.666667,0,0,0,0
2343.333333,0,0,0,0
2345,0,0,0,0
2346.666667,0,0,0,0
2348.333333,0,0,0,0
2350,0,0,0,0
2351.666667,0,0,0,0
2353.333333,0,0,0,0
2355,0,0,0,0
2356.666667,0,0,0,0
2358.333333,0,0,0,0
2360,0,0,0,0
2361.666667,0,0,0,0
2363.333333,0,0,0,0
2365,0,0,0,0
2366.666667,0,0,0,0
2368.333333,0,0,0,0
2370,0,0,0,0
2371.666667,0,0,0,0
2373.333333,0,0,0,0
2375,0,0,0,0
2376.666667,0,0,0,0
2378.333333,0,0,0,0
2380,0,0,0,0
2381.666667,0,0,0,0
2383.333333,0,0,0,0
2385,0,0,0,0
2386.666667,0,0,0,0
2388.333333,0,0,0,0
2390,0,0,0,0
2391.666667,0,0,0,0
2393.333333,0,0,0,0
2395,0,0,0,0
2396.666667,0,0,0,0
2398.333333,0,0,0,0
